IID,GEBV
1000001,-5.34039
1000002,-11.6357
1000003,-13.7732
1000004,-14.3301
1000005,-14.1751
1000006,-15.6503
1000007,-17.6697
1000008,-22.1587
1000009,-11.2718
1000010,-14.2551
1000011,-14.0821
1000012,-9.58411
1000013,-20.2174
1000014,-21.7099
1000015,-19.5324
1000016,-19.3492
1000017,-11.8139
1000018,-16.5951
1000019,-22.5772
1000020,-24.9435
1000021,-16.2212
1000022,-20.862
1000023,-21.5044
1000024,-17.4177
1000025,-15.6846
1000026,-18.9908
1000027,-13.8508
1000028,-26.2106
1000029,-19.8647
1000030,-19.3616
1000031,-17.2571
1000032,-21.7042
1000033,-15.8611
1000034,-23.9728
1000035,-9.08659
1000036,-13.961
1000037,-17.6969
1000038,-18.9182
1000039,-4.95691
1000040,-13.3898
1000041,-27.3938
1000042,-21.2168
1000043,-19.4066
1000044,-19.7493
1000045,-28.0323
1000046,-18.2457
1000047,-20.3933
1000048,-9.85979
1000049,-18.6836
1000050,-7.76772
1000051,-10.1007
1000052,-21.0062
1000053,-15.0347
1000054,-18.5232
1000055,-26.3018
1000056,-11.6875
1000057,-16.5039
1000058,-11.0576
1000059,-4.85634
1000060,-17.9392
1000061,-13.8602
1000062,-19.9453
1000063,-12.6093
1000064,-2.35619
1000065,-7.96387
1000066,-3.90433
1000067,-17.826
1000068,-22.5265
1000069,-13.5094
1000070,-8.35715
1000071,-21.1665
1000072,-11.7848
1000073,-23.8255
1000074,-20.641
1000075,-18.4841
1000076,-18.1461
1000077,-16.2093
1000078,-15.8625
1000079,-18.1914
1000080,-24.6323
1000081,-11.9429
1000082,-25.212
1000083,-8.27655
1000084,-14.0526
1000085,-11.1028
1000086,-28.8367
1000087,-24.2221
1000088,-13.8312
1000089,-16.3209
1000090,-28.2929
1000091,-13.847
1000092,-11.4428
1000093,-11.1346
1000094,-8.25694
1000095,-10.4798
1000096,-18.5875
1000097,-11.1058
1000098,-16.6541
1000099,-32.7776
1000100,-21.0054
1000101,-15.2271
1000102,-30.0234
1000103,-24.1689
1000104,-12.8313
1000105,-21.1814
1000106,-18.9111
1000107,-9.40526
1000108,-9.76417
1000109,-16.5886
1000110,-19.031
1000111,-11.6831
1000112,-16.4948
1000113,-17.6213
1000114,-29.5805
1000115,-13.3716
1000116,-21.5423
1000117,-22.1919
1000118,-12.6651
1000119,-19.3469
1000120,-5.91276
1000121,-14.3877
1000122,-22.6503
1000123,-8.90468
1000124,-27.2312
1000125,-14.5435
1000126,-27.7026
1000127,-7.90945
1000128,-17.1218
1000129,-17.6597
1000130,-15.926
1000131,-22.3406
1000132,-23.7875
1000133,-18.1759
1000134,-10.573
1000135,-27.3952
1000136,-7.65819
1000137,-15.8217
1000138,-16.1778
1000139,-17.3285
1000140,-14.0829
1000141,-16.3388
1000142,-21.1591
1000143,-9.16995
1000144,-4.52824
