IID Py intercept R
1000001 0.452485 1 1
1000002 3.77648 1 1
1000003 2.32968 1 1
1000004 -2.83197 1 1
1000005 8.24335 1 1
1000006 -1.34901 1 1
1000007 -1.38307 1 1
1000008 2.07203 1 1
1000009 -4.6823 1 1
1000010 -6.01411 1 1
1000011 -2.21774 1 1
1000012 -1.34743 1 1
1000013 0.304399 1 1
1000014 -2.20087 1 1
1000015 -3.98649 1 1
1000016 -0.318768 1 1
1000017 1.10926 1 1
1000018 1.86296 1 1
1000019 2.5081 1 1
1000020 -6.25026 1 1
1000021 -3.10355 1 1
1000022 7.91543 1 1
1000023 3.96058 1 1
1000024 7.26051 1 1
1000025 6.96954 1 1
1000026 -7.4222 1 1
1000027 5.59905 1 1
1000028 -0.810766 1 1
1000029 5.35324 1 1
1000030 -1.21255 1 1
1000031 0.209017 1 1
1000032 -10.9349 1 1
1000033 1.62358 1 1
1000034 -7.72525 1 1
1000035 0.747972 1 1
1000036 3.01383 1 1
1000037 4.44757 1 1
1000038 0.989346 1 1
1000039 -4.36731 1 1
1000040 3.45643 1 1
1000041 -8.60618 1 1
1000042 -7.89069 1 1
1000043 1.46395 1 1
1000044 -1.58088 1 1
1000045 4.34403 1 1
1000046 4.33771 1 1
1000047 -0.5005 1 1
1000048 5.67867 1 1
1000049 -9.04914 1 1
1000050 -4.58763 1 1
1000051 7.74493 1 1
1000052 -3.25134 1 1
1000053 5.14646 1 1
1000054 -3.0665 1 1
1000055 -5.58857 1 1
1000056 3.77387 1 1
1000057 2.38047 1 1
1000058 5.5683 1 1
1000059 4.01928 1 1
1000060 0.299481 1 1
1000061 1.3513 1 1
1000062 -9.25999 1 1
1000063 3.92696 1 1
1000064 0.690517 1 1
1000065 4.43365 1 1
1000066 0.452646 1 1
1000067 2.52396 1 1
1000068 5.06457 1 1
1000069 -4.57002 1 1
1000070 5.80585 1 1
1000071 -1.87162 1 1
1000072 -9.91162 1 1
1000073 7.21587 1 1
1000074 7.77815 1 1
1000075 2.53101 1 1
