variant	Chr	Pos	MAC	MAF	HWEP	xPy	xPx	xBx	xSx	WindowSize	ChiSq	Pval
Marker000016526	10	86576840	1862	0.0931	0.0243126	-70.8334	172.206	191.299	1727.29	1000	0.533312	0.465218
Marker000025720	16	44808810	2615	0.13075	0.75818	-53.2203	238.502	271.532	2265.15	1000	0.217379	0.641045
Marker000003594	3	15361760	3727	0.18635	0.792014	151.93	246.495	274.807	3039.96	1000	1.71408	0.190457
Marker000030602	19	36308760	5642	0.2821	0.0189906	-261.904	388.774	441.776	3954.79	1000	3.22955	0.0723205
Marker000026094	16	65691300	1155	0.05775	0.358768	-42.6484	126.017	143.224	1077.61	1000	0.264198	0.60725
Marker000026758	17	7109440	747	0.03735	0.0112041	26.694	93.9123	104.57	739.193	1000	0.138887	0.70939
Marker000018449	12	6158500	9249	0.46245	0.136633	-42.9245	1235.42	1416.09	4896.61	1000	0.0272993	0.868767
Marker000028889	18	36590180	3496	0.1748	0.331708	-0.323644	210.248	235.074	2855.82	1000	9.11923e-06	0.997591
Marker000027116	17	27672650	1642	0.0821	0.790943	29.6608	141.018	156.865	1502.39	1000	0.114195	0.735418
Marker000032648	20	63537770	2822	0.1411	0.126712	-57.6953	212.71	238.261	2385.64	1000	0.286449	0.592505
Marker000003880	3	31060140	1758	0.0879	0.383008	-5.38878	152.342	170.319	1616.93	1000	0.0034891	0.952897
Marker000031862	20	15265240	6696	0.3348	0.243044	-49.1992	553.484	628.646	4506.35	1000	0.0800507	0.777229
Marker000000362	1	20178770	840	0.042	0.803493	-92.8145	103.68	115.956	801.446	1000	1.52087	0.217488
Marker000030642	19	38842840	9280	0.464	0.494293	-91.0821	912.912	1054.56	5008.16	1000	0.166338	0.683387
Marker000026936	17	17080070	3316	0.1658	0.247287	-133.356	244.018	274.438	2798.39	1000	1.33401	0.248093
Marker000033004	20	84487960	6953	0.34765	0.480487	8.40598	372.742	412.581	4502.54	1000	0.00346994	0.953027
Marker000029172	18	54087470	6606	0.3303	0.603144	-50.3005	348.946	392.158	4400.11	1000	0.132721	0.715627
Marker000008662	6	16925480	8833	0.44165	0.90317	115.54	738.249	848.404	4924.77	1000	0.330991	0.565076
Marker000019924	12	97115300	5809	0.29045	0.166778	47.1632	469.626	526.576	4178.56	1000	0.086698	0.768418
Marker000016383	10	78940570	5854	0.2927	0.595176	34.0394	651.508	745.12	4163.07	1000	0.0325535	0.856818
Marker000032236	20	37760520	4836	0.2418	0.0962273	-55.8471	321.938	362.386	3605.27	1000	0.17733	0.673678
Marker000007389	5	46310510	972	0.0486	0.329899	-84.7593	110.799	125.664	933.515	1000	1.18684	0.275968
Marker000023696	15	23672570	1485	0.07425	1	55.1429	143.188	160.665	1374.46	1000	0.388711	0.532978
Marker000002319	2	35919910	1167	0.05835	0.784922	-353.373	120.994	138.66	1094.81	1000	18.8911	1.38398e-05
Marker000013081	8	83734170	1718	0.0859	0.523937	-88.4613	142.551	158.425	1558.84	1000	1.00482	0.316146
Marker000001983	2	15175030	8949	0.44745	0.656438	-357.613	1501.52	1733.02	4966.55	1000	1.55902	0.211809
Marker000003141	2	85893390	8545	0.42725	0.526487	433.485	766.867	881.906	4925.3	1000	4.48521	0.0341894
Marker000021846	14	11948980	5437	0.27185	0.820166	0.971143	445.425	503.101	3948.95	1000	3.87567e-05	0.995033
Marker000026332	16	79494690	7878	0.3939	0.45087	147.379	811.008	927.898	4737.75	1000	0.490232	0.483824
Marker000019717	12	85194460	1861	0.09305	0.858885	51.8353	166.249	187.807	1690.67	1000	0.295832	0.586507
